device_x,device_y,cursor_pos,time,overlap,speed,cursor_size,zigzag_pos,shape_thicc
0.842408540328191,-13.36621550654063,0.842408540328191,82.24046301841736,True,0.005490038998610346,0.4,-141.6045758911866,0.25
0.842408540328191,-13.36621550654063,0.842408540328191,82.24346780776978,True,0.005490038998610346,0.4,-141.61006593018521,0.25
0.842408540328191,-13.36621550654063,0.842408540328191,82.24648094177246,True,0.005490038998610346,0.4,-141.61555596918382,0.25
0.8985691096834038,-13.36621550654063,0.8985691096834038,82.24947690963745,True,0.005490038998610346,0.4,-141.62104600818242,0.25
0.8985691096834038,-13.36621550654063,0.8985691096834038,82.25256085395813,True,0.005490038998610346,0.4,-141.62653604718102,0.25
0.8985691096834038,-13.36621550654063,0.8985691096834038,82.25559782981873,True,0.005490038998610346,0.4,-141.63202608617962,0.25
0.9266493943610101,-13.36621550654063,0.9266493943610101,82.25867295265198,True,0.005490038998610346,0.4,-141.63751612517822,0.25
0.9266493943610101,-13.36621550654063,0.9266493943610101,82.26164197921753,True,0.005490038998610346,0.4,-141.64300616417682,0.25
0.9828099637162228,-13.36621550654063,0.9828099637162228,82.26467800140381,True,0.005490038998610346,0.4,-141.64849620317543,0.25
0.9828099637162228,-13.36621550654063,0.9828099637162228,82.26842093467712,True,0.005490038998610346,0.4,-141.65398624217403,0.25
0.9828099637162228,-13.36621550654063,0.9828099637162228,82.27141284942627,True,0.005490038998610346,0.4,-141.65947628117263,0.25
1.0389705330714356,-13.338135221863023,1.0389705330714356,82.27443885803223,True,0.005490038998610346,0.4,-141.66496632017123,0.25
1.0389705330714356,-13.338135221863023,1.0389705330714356,82.27740502357483,True,0.005490038998610346,0.4,-141.67045635916983,0.25
1.0951311024266484,-13.338135221863023,1.0951311024266484,82.2804639339447,True,0.005490038998610346,0.4,-141.67594639816843,0.25
1.0951311024266484,-13.338135221863023,1.0951311024266484,82.28419089317322,True,0.005490038998610346,0.4,-141.68143643716704,0.25
1.0951311024266484,-13.338135221863023,1.0951311024266484,82.28721380233765,True,0.005490038998610346,0.4,-141.68692647616564,0.25
1.1232113871042546,-13.338135221863023,1.1232113871042546,82.29022693634033,True,0.005490038998610346,0.4,-141.69241651516424,0.25
1.1232113871042546,-13.338135221863023,1.1232113871042546,82.29319787025452,True,0.005490038998610346,0.4,-141.69790655416284,0.25
1.1793719564594674,-13.338135221863023,1.1793719564594674,82.29621601104736,True,0.005490038998610346,0.4,-141.70339659316144,0.25
1.1793719564594674,-13.338135221863023,1.1793719564594674,82.29993987083435,True,0.005490038998610346,0.4,-141.70888663216004,0.25
1.1793719564594674,-13.338135221863023,1.1793719564594674,82.30295395851135,True,0.005490038998610346,0.4,-141.71437667115865,0.25
1.2074522411370736,-13.338135221863023,1.2074522411370736,82.30594897270203,True,0.005490038998610346,0.4,-141.71986671015725,0.25
1.2074522411370736,-13.338135221863023,1.2074522411370736,82.30894494056702,True,0.005490038998610346,0.4,-141.72535674915585,0.25
1.2636128104922864,-13.338135221863023,1.2636128104922864,82.31195998191833,True,0.005490038998610346,0.4,-141.73084678815445,0.25
1.2636128104922864,-13.338135221863023,1.2636128104922864,82.3157229423523,True,0.005490038998610346,0.4,-141.73633682715305,0.25
1.2636128104922864,-13.338135221863023,1.2636128104922864,82.31873393058777,True,0.005490038998610346,0.4,-141.74182686615165,0.25
1.2916930951698928,-13.338135221863023,1.2916930951698928,82.32172298431396,True,0.005490038998610346,0.4,-141.74731690515026,0.25
1.2916930951698928,-13.338135221863023,1.2916930951698928,82.3247230052948,True,0.005490038998610346,0.4,-141.75280694414886,0.25
1.2916930951698928,-13.338135221863023,1.2916930951698928,82.32773995399475,True,0.005490038998610346,0.4,-141.75829698314746,0.25
1.319773379847499,-13.338135221863023,1.319773379847499,82.33149886131287,True,0.005490038998610346,0.4,-141.76378702214606,0.25
1.319773379847499,-13.338135221863023,1.319773379847499,82.33447790145874,True,0.005490038998610346,0.4,-141.76927706114466,0.25
1.3759339492027118,-13.338135221863023,1.3759339492027118,82.33751201629639,True,0.005490038998610346,0.4,-141.77476710014326,0.25
1.3759339492027118,-13.338135221863023,1.3759339492027118,82.34053492546082,True,0.005490038998610346,0.4,-141.78025713914187,0.25
1.3759339492027118,-13.338135221863023,1.3759339492027118,82.34356379508972,True,0.005490038998610346,0.4,-141.78574717814047,0.25
1.4320945185579246,-13.338135221863023,1.4320945185579246,82.34729480743408,True,0.005490038998610346,0.4,-141.79123721713907,0.25
1.4320945185579246,-13.338135221863023,1.4320945185579246,82.35027980804443,True,0.005490038998610346,0.4,-141.79672725613767,0.25
1.4882550879131373,-13.338135221863023,1.4882550879131373,82.35327100753784,True,0.005490038998610346,0.4,-141.80221729513627,0.25
1.4882550879131373,-13.338135221863023,1.4882550879131373,82.35627889633179,True,0.005490038998610346,0.4,-141.80770733413488,0.25
1.4882550879131373,-13.338135221863023,1.4882550879131373,82.35927200317383,True,0.005490038998610346,0.4,-141.81319737313348,0.25
1.5724959419459568,-13.338135221863023,1.5724959419459568,82.36225199699402,True,0.005490038998610346,0.4,-141.81868741213208,0.25
1.5724959419459568,-13.338135221863023,1.5724959419459568,82.36531400680542,True,0.005490038998610346,0.4,-141.82417745113068,0.25
1.6286565113011695,-13.338135221863023,1.6286565113011695,82.3683660030365,True,0.005490038998610346,0.4,-141.82966749012928,0.25
1.6286565113011695,-13.338135221863023,1.6286565113011695,82.37137293815613,True,0.005490038998610346,0.4,-141.83515752912788,0.25
1.6286565113011695,-13.338135221863023,1.6286565113011695,82.3743588924408,True,0.005490038998610346,0.4,-141.84064756812649,0.25
1.684817080656382,-13.338135221863023,1.684817080656382,82.37736701965332,True,0.005490038998610346,0.4,-141.8461376071251,0.25
1.684817080656382,-13.338135221863023,1.684817080656382,82.38114881515503,True,0.005490038998610346,0.4,-141.8516276461237,0.25
1.7409776500115948,-13.310054937185418,1.7409776500115948,82.38418889045715,True,0.005490038998610346,0.4,-141.8571176851223,0.25
1.7409776500115948,-13.310054937185418,1.7409776500115948,82.38719892501831,True,0.005490038998610346,0.4,-141.8626077241209,0.25
1.7409776500115948,-13.310054937185418,1.7409776500115948,82.39020586013794,True,0.005490038998610346,0.4,-141.8680977631195,0.25
1.8252185040444138,-13.310054937185418,1.8252185040444138,82.39320588111877,True,0.005490038998610346,0.4,-141.8735878021181,0.25
1.8252185040444138,-13.310054937185418,1.8252185040444138,82.39697790145874,True,0.005490038998610346,0.4,-141.8790778411167,0.25
1.9375396427548393,-13.310054937185418,1.9375396427548393,82.40030980110168,True,0.005490038998610346,0.4,-141.8845678801153,0.25
1.9375396427548393,-13.310054937185418,1.9375396427548393,82.40333390235901,True,0.005490038998610346,0.4,-141.8900579191139,0.25
1.9375396427548393,-13.310054937185418,1.9375396427548393,82.40645384788513,True,0.005490038998610346,0.4,-141.8955479581125,0.25
2.0217804967876583,-13.310054937185418,2.0217804967876583,82.4094648361206,True,0.005490038998610346,0.4,-141.9010379971111,0.25
2.0217804967876583,-13.310054937185418,2.0217804967876583,82.41324281692505,True,0.005490038998610346,0.4,-141.9065280361097,0.25
